date,name,open,high,low,close,volume
2026-01-02,オルカン,142.7700,142.9500,141.4900,142.4900,5218800
2026-01-02,S&P500,6878.1099,6894.8701,6824.3101,6858.4702,4184120000
2026-01-05,オルカン,143.0900,144.7000,142.9900,143.6800,7924000
2026-01-05,日経平均,51010.2813,52033.2383,50995.6719,51832.8008,139400000
2026-01-05,S&P500,6892.1899,6920.3799,6891.5601,6902.0498,5771930000
2026-01-06,オルカン,143.8300,144.4700,143.8100,144.3500,3321300
2026-01-06,日経平均,52157.2188,52523.7695,52024.6211,52518.0781,151900000
2026-01-06,S&P500,6908.0298,6948.6899,6904.0200,6944.8198,5509680000
2026-01-07,オルカン,144.2300,144.4900,143.7300,143.8100,2909500
2026-01-07,日経平均,52144.6406,52404.1094,51830.3984,51961.9805,138600000
2026-01-07,S&P500,6945.0698,6965.6899,6919.1899,6920.9302,5214480000
2026-01-08,オルカン,143.6100,143.9100,143.3100,143.7700,7426100
2026-01-08,日経平均,51769.8281,51866.1914,51052.8281,51117.2617,135400000
2026-01-08,S&P500,6914.1099,6931.2798,6899.3301,6921.4600,5333200000
2026-01-09,オルカン,144.0900,144.9700,143.8700,144.7500,2359000
2026-01-09,日経平均,51367.9805,51986.9102,51189.1406,51939.8906,133100000
2026-01-09,S&P500,6927.8301,6978.3599,6917.6401,6966.2798,5163900000
2026-01-12,オルカン,144.6300,145.4800,144.4300,145.3800,2887000
2026-01-12,S&P500,6944.1201,6986.3301,6934.0698,6977.2700,5019040000
2026-01-13,オルカン,145.3100,145.4000,144.5300,144.8900,4752400
2026-01-13,日経平均,52808.2891,53814.7891,52741.6406,53549.1602,168500000
2026-01-13,S&P500,6977.4102,6985.8301,6938.7700,6963.7402,5091730000
2026-01-14,オルカン,144.7200,144.7900,143.9500,144.7100,3001800
2026-01-14,日経平均,53827.2383,54487.3203,53792.6797,54341.2305,144500000
2026-01-14,S&P500,6937.4102,6941.2998,6885.7402,6926.6001,5530830000
2026-01-15,オルカン,145.4700,145.6300,144.8800,145.0000,3457900
2026-01-15,日経平均,54039.3984,54153.6094,53709.8711,54110.5000,150900000
2026-01-15,S&P500,6969.4600,6979.3398,6937.9302,6944.4702,5114050000
2026-01-16,オルカン,145.2600,145.3000,144.5200,145.0000,2625100
2026-01-16,日経平均,54071.2813,54130.6016,53706.7891,53936.1719,144300000
2026-01-16,S&P500,6960.5400,6967.2998,6925.0898,6940.0098,5356550000
2026-01-19,日経平均,53390.0508,53583.5703,53091.4492,53583.5703,122900000
2026-01-20,オルカン,142.8400,143.6600,142.2100,142.3600,4322400
2026-01-20,日経平均,53348.5898,53408.3516,52852.8984,52991.1016,126800000
2026-01-20,S&P500,6865.2402,6871.1699,6789.0498,6796.8599,5769500000
2026-01-21,オルカン,142.8800,144.6300,142.5700,144.0100,5535100
2026-01-21,日経平均,52228.0781,52848.7813,52194.8086,52774.6406,139000000
2026-01-21,S&P500,6810.7100,6910.3901,6804.9600,6875.6201,5835520000
2026-01-22,オルカン,144.9500,145.1700,144.3800,144.8100,2681400
2026-01-22,日経平均,53327.3906,53922.5313,53242.3789,53688.8906,150900000
2026-01-22,S&P500,6914.4399,6934.7500,6893.6201,6913.3501,5307580000
2026-01-23,オルカン,144.6300,145.2500,144.3800,145.1600,3350300
2026-01-23,日経平均,53898.4492,54050.8398,53603.6797,53846.8711,129500000
2026-01-23,S&P500,6907.8501,6932.9600,6895.5000,6915.6099,4871930000
2026-01-26,オルカン,145.3200,146.1300,145.3200,145.7200,3018900
2026-01-26,日経平均,53023.2813,53138.6719,52656.0000,52885.2500,138300000
2026-01-26,S&P500,6923.2300,6964.6602,6921.6001,6950.2300,4968050000
2026-01-27,オルカン,146.4500,147.1600,146.4400,147.0600,3690800
2026-01-27,日経平均,52847.5391,53334.0313,52637.6602,53333.5391,136700000
2026-01-27,S&P500,6965.9600,6988.8198,6958.8301,6978.6001,5331720000
2026-01-28,オルカン,147.2500,147.3100,146.3900,146.8400,4428900
2026-01-28,日経平均,53023.8789,53507.1797,52788.1016,53358.7109,149800000
2026-01-28,S&P500,7002.0000,7002.2798,6963.4600,6978.0298,5507670000
2026-01-29,オルカン,147.3900,147.4300,144.8500,146.7000,4339000
2026-01-29,日経平均,53301.2617,53742.6914,52990.4219,53375.6016,154500000
2026-01-29,S&P500,6977.7402,6992.8398,6870.7998,6969.0098,6877780000
2026-01-30,オルカン,146.1100,146.4300,144.7200,145.5000,6876200
2026-01-30,日経平均,53434.7305,53590.2383,52923.1211,53322.8516,156800000
2026-01-30,S&P500,6947.2700,6964.0898,6893.4800,6939.0298,6697340000
2026-02-02,オルカン,145.1300,146.5700,145.0500,146.3100,4847400
2026-02-02,日経平均,53575.3711,54247.1484,52655.1797,52655.1797,153800000
2026-02-02,S&P500,6916.6401,6991.9199,6914.3398,6976.4399,5772050000
2026-02-03,オルカン,146.4800,146.6400,144.3600,145.5400,4628000
2026-02-03,日経平均,53332.1797,54782.8281,53307.7383,54720.6602,156900000
2026-02-03,S&P500,6985.4502,6993.0801,6862.0498,6917.8101,7017660000
2026-02-04,オルカン,146.1500,146.2500,144.1700,144.9900,6793500
2026-02-04,日経平均,54250.4102,54459.4102,53965.5117,54293.3594,186300000
2026-02-04,S&P500,6924.5000,6936.0898,6838.7998,6882.7202,7475750000
2026-02-05,オルカン,143.8100,144.5400,142.9200,143.2100,4062200
2026-02-05,日経平均,54289.0508,54459.0781,53653.0586,53818.0391,213200000
2026-02-05,S&P500,6837.3901,6857.8501,6780.1299,6798.3999,6989120000
2026-02-06,オルカン,144.4600,146.4700,144.4200,146.2800,4312200
2026-02-06,日経平均,53435.3711,54253.6797,52950.1484,54253.6797,188900000
2026-02-06,S&P500,6816.7402,6944.8901,6816.7402,6932.2998,6283680000
2026-02-09,オルカン,146.2800,147.6800,146.0400,147.4100,3577700
2026-02-09,日経平均,55130.6289,57337.0703,55018.5703,56363.9414,205000000
2026-02-09,S&P500,6917.2598,6980.1001,6905.8701,6964.8198,5650260000
2026-02-10,オルカン,147.8200,148.0100,147.2400,147.3100,6799600
2026-02-10,日経平均,56812.0117,57960.1914,56812.0117,57650.5391,191500000
2026-02-10,S&P500,6974.4902,6986.8301,6937.5298,6941.8101,5595950000
2026-02-11,オルカン,148.2500,148.4100,146.8800,147.7100,7414900
2026-02-11,S&P500,6976.4800,6993.4800,6911.9702,6941.4702,6175510000
2026-02-12,オルカン,148.3000,148.3700,145.5300,145.6500,10575900
2026-02-12,日経平均,57864.7383,58015.0781,57554.4883,57639.8398,190000000
2026-02-12,S&P500,6957.5400,6973.2202,6824.0400,6832.7598,7118700000
2026-02-13,オルカン,145.6100,146.6100,144.7700,145.9400,11700300
2026-02-13,日経平均,57197.3281,57407.2500,56652.4805,56941.9688,210000000
2026-02-13,S&P500,6834.2700,6881.9600,6794.5498,6836.1699,5718360000
2026-02-16,日経平均,57212.9688,57219.1992,56748.1797,56806.4102,137400000
2026-02-17,オルカン,145.2800,146.3600,144.3900,146.0000,6739500
2026-02-17,日経平均,56819.3711,56926.2383,56135.1211,56566.4883,132600000
2026-02-17,S&P500,6819.8599,6866.9902,6775.5000,6843.2202,5418480000
2026-02-18,オルカン,146.3400,147.2900,146.0500,146.6300,4213700
2026-02-18,日経平均,56734.2695,57392.8906,56734.2695,57143.8398,130100000
2026-02-18,S&P500,6855.4800,6909.1201,6849.6602,6881.3101,5098160000
2026-02-19,オルカン,145.8000,146.4000,145.6400,146.3400,4351100
2026-02-19,日経平均,57472.0781,57709.8203,57362.0117,57467.8281,135500000
2026-02-19,S&P500,6861.3398,6879.1201,6833.0601,6861.8901,5151690000
2026-02-20,オルカン,146.0000,147.6700,145.8700,147.6300,9126700
2026-02-20,日経平均,56979.7383,56979.7383,56680.8789,56825.6992,152400000
2026-02-20,S&P500,6843.2598,6915.8599,6836.3301,6909.5098,5432480000
2026-02-23,オルカン,147.0800,147.7300,145.8400,146.2600,7129000
2026-02-23,S&P500,6901.2500,6916.9600,6819.8198,6837.7500,5638350000
2026-02-24,オルカン,146.2900,147.5400,145.9200,147.3300,4873400
2026-02-24,日経平均,56764.1406,57421.6719,56732.9297,57321.0898,157800000
2026-02-24,S&P500,6837.3701,6899.1699,6815.4302,6890.0698,5266090000
2026-02-25,オルカン,148.1700,148.7500,147.9700,148.6500,4710400
2026-02-25,日経平均,57695.3984,58875.1719,57656.5000,58583.1211,167100000
